"","occupation","code","education","work_experience","job_training","year"
"331","Protective Service Workers, All Other","33-9099","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"332","Chefs and Head Cooks","35-1011","High school diploma or equivalent","1 to 5 years","None","2010"
"333","First-Line Supervisors of Food Preparation and Serving Workers","35-1012","High school diploma or equivalent","1 to 5 years","None","2010"
"334","Cooks, Fast Food","35-2011","Less than high school","None","Short-term on-the-job training","2010"
"335","Cooks, Institution and Cafeteria","35-2012","Less than high school","None","Short-term on-the-job training","2010"
"336","Cooks, Private Household","35-2013","Postsecondary non-degree award","1 to 5 years","None","2010"
"337","Cooks, Restaurant","35-2014","Less than high school","Less than 1 year","Moderate-term on-the-job training","2010"
"338","Cooks, Short Order","35-2015","Less than high school","None","Short-term on-the-job training","2010"
"339","Cooks, All Other","35-2019","Less than high school","None","Moderate-term on-the-job training","2010"
"340","Food Preparation Workers","35-2021","Less than high school","None","Short-term on-the-job training","2010"
"341","Bartenders","35-3011","Less than high school","None","Short-term on-the-job training","2010"
"342","Combined Food Preparation and Serving Workers, Including Fast Food","35-3021","Less than high school","None","Short-term on-the-job training","2010"
"343","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop","35-3022","Less than high school","None","Short-term on-the-job training","2010"
"344","Waiters and Waitresses","35-3031","Less than high school","None","Short-term on-the-job training","2010"
"345","Food Servers, Nonrestaurant","35-3041","Less than high school","None","Short-term on-the-job training","2010"
"346","Dining Room and Cafeteria Attendants and Bartender Helpers","35-9011","Less than high school","None","Short-term on-the-job training","2010"
"347","Dishwashers","35-9021","Less than high school","None","Short-term on-the-job training","2010"
"348","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","35-9031","Less than high school","None","None","2010"
"349","Food Preparation and Serving Related Workers, All Other","35-9099","Less than high school","None","Short-term on-the-job training","2010"
"350","First-Line Supervisors of Housekeeping and Janitorial Workers","37-1011","High school diploma or equivalent","1 to 5 years","None","2010"
"351","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","37-1012","High school diploma or equivalent","1 to 5 years","None","2010"
"352","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","37-2011","Less than high school","None","Short-term on-the-job training","2010"
"353","Maids and Housekeeping Cleaners","37-2012","Less than high school","None","Short-term on-the-job training","2010"
"354","Building Cleaning Workers, All Other","37-2019","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"355","Pest Control Workers","37-2021","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"356","Landscaping and Groundskeeping Workers","37-3011","Less than high school","None","Short-term on-the-job training","2010"
"357","Pesticide Handlers, Sprayers, and Applicators, Vegetation","37-3012","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"358","Tree Trimmers and Pruners","37-3013","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"359","Grounds Maintenance Workers, All Other","37-3019","Less than high school","None","Short-term on-the-job training","2010"
"360","Gaming Supervisors","39-1011","High school diploma or equivalent","1 to 5 years","None","2010"
"361","Slot Supervisors","39-1012","High school diploma or equivalent","1 to 5 years","None","2010"
"362","First-Line Supervisors of Personal Service Workers","39-1021","High school diploma or equivalent","1 to 5 years","None","2010"
"363","Animal Trainers","39-2011","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"364","Nonfarm Animal Caretakers","39-2021","Less than high school","None","Short-term on-the-job training","2010"
"365","Gaming Dealers","39-3011","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"366","Gaming and Sports Book Writers and Runners","39-3012","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"367","Gaming Service Workers, All Other","39-3019","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"368","Motion Picture Projectionists","39-3021","Less than high school","None","Short-term on-the-job training","2010"
"369","Ushers, Lobby Attendants, and Ticket Takers","39-3031","Less than high school","None","Short-term on-the-job training","2010"
"370","Amusement and Recreation Attendants","39-3091","Less than high school","None","Short-term on-the-job training","2010"
"371","Costume Attendants","39-3092","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"372","Locker Room, Coatroom, and Dressing Room Attendants","39-3093","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"373","Entertainment Attendants and Related Workers, All Other","39-3099","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"374","Embalmers","39-4011","Postsecondary non-degree award","None","Short-term on-the-job training","2010"
"375","Funeral Attendants","39-4021","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"376","Funeral Service Managers, Directors, Morticians, and Undertakers","39-4831","Associate's degree","None","Apprenticeship","2010"
"377","Barbers","39-5011","Postsecondary non-degree award","None","None","2010"
"378","Hairdressers, Hairstylists, and Cosmetologists","39-5012","Postsecondary non-degree award","None","None","2010"
"379","Makeup Artists, Theatrical and Performance","39-5091","Postsecondary non-degree award","None","None","2010"
"380","Manicurists and Pedicurists","39-5092","Postsecondary non-degree award","None","None","2010"
"381","Shampooers","39-5093","Less than high school","None","Short-term on-the-job training","2010"
"382","Skincare Specialists","39-5094","Postsecondary non-degree award","None","None","2010"
"383","Baggage Porters and Bellhops","39-6011","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"384","Concierges","39-6012","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"385","Tour Guides and Escorts","39-7011","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"386","Travel Guides","39-7012","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"387","Childcare Workers","39-9011","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"388","Personal Care Aides","39-9021","Less than high school","None","Short-term on-the-job training","2010"
"389","Fitness Trainers and Aerobics Instructors","39-9031","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"390","Recreation Workers","39-9032","Bachelor's degree","None","None","2010"
"391","Residential Advisors","39-9041","Some college, no degree","Less than 1 year","Short-term on-the-job training","2010"
"392","Personal Care and Service Workers, All Other","39-9099","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"393","First-Line Supervisors of Retail Sales Workers","41-1011","High school diploma or equivalent","1 to 5 years","None","2010"
"394","First-Line Supervisors of Non-Retail Sales Workers","41-1012","High school diploma or equivalent","More than 5 years","None","2010"
"395","Cashiers","41-2011","Less than high school","None","Short-term on-the-job training","2010"
"396","Gaming Change Persons and Booth Cashiers","41-2012","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"397","Counter and Rental Clerks","41-2021","Less than high school","None","Short-term on-the-job training","2010"
"398","Parts Salespersons","41-2022","Less than high school","None","Moderate-term on-the-job training","2010"
"399","Retail Salespersons","41-2031","Less than high school","None","Short-term on-the-job training","2010"
"400","Advertising Sales Agents","41-3011","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"401","Insurance Sales Agents","41-3021","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"402","Securities, Commodities, and Financial Services Sales Agents","41-3031","Bachelor's degree","None","Moderate-term on-the-job training","2010"
"403","Travel Agents","41-3041","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"404","Sales Representatives, Services, All Other","41-3099","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"405","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","41-4011","Bachelor's degree","None","Moderate-term on-the-job training","2010"
"406","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","41-4012","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"407","Demonstrators and Product Promoters","41-9011","High school diploma or equivalent","None","Short-term on-the-job training","2010"
