"","employment","code","less hs","high school","some college, no degree","associate","bachelor","master","doctor/professional","year"
"267","Designers, all other(1)","27-1029",2.2,10,16.8,12.8,48,8.8,1.4,"2014"
"268","Actors","27-2011",1.8,13.2,18.5,8.2,45,11.4,1.8,"2014"
"269","Producers and directors","27-2012",0.7,4.6,13.3,4.6,59.3,15.1,2.4,"2014"
"270","Athletes and sports competitors(1)","27-2021",1.6,10.9,18.9,7.4,41.6,17.6,2,"2014"
"271","Coaches and scouts(1)","27-2022",1.6,10.9,18.9,7.4,41.6,17.6,2,"2014"
"272","Umpires, referees, and other sports officials(1)","27-2023",1.6,10.9,18.9,7.4,41.6,17.6,2,"2014"
"273","Dancers(1)","27-2031",7.4,25.7,25.9,7.9,28.5,3.4,1.2,"2014"
"274","Choreographers(1)","27-2032",7.4,25.7,25.9,7.9,28.5,3.4,1.2,"2014"
"275","Music directors and composers(1)","27-2041",4.5,14.5,21.9,4.9,30.7,19.2,4.3,"2014"
"276","Musicians and singers(1)","27-2042",4.5,14.5,21.9,4.9,30.7,19.2,4.3,"2014"
"277","Entertainers and performers, sports and related workers, all other","27-2099",3.8,18.4,30,5.7,32.1,6.9,3.1,"2014"
"278","Radio and television announcers(1)","27-3011",4.7,19,24.4,9.1,35.6,5.7,1.4,"2014"
"279","Public address system and other announcers(1)","27-3012",4.7,19,24.4,9.1,35.6,5.7,1.4,"2014"
"280","Broadcast news analysts(1)","27-3021",0.6,2.5,7.7,4.1,63.7,18.7,2.6,"2014"
"281","Reporters and correspondents(1)","27-3022",0.6,2.5,7.7,4.1,63.7,18.7,2.6,"2014"
"282","Public relations specialists","27-3031",0.8,3,9.6,4.6,57.2,20.5,4.4,"2014"
"283","Editors","27-3041",0.5,3.1,11,3.3,56.2,20,5.9,"2014"
"284","Technical writers","27-3042",0.6,4.2,11.3,6.9,45.2,24.1,7.8,"2014"
"285","Writers and authors","27-3043",0.6,2.9,9.1,3.3,51.1,24.8,8.3,"2014"
"286","Interpreters and translators(1)","27-3091",3.6,10.9,19.5,13.7,32.3,16.1,3.9,"2014"
"287","Media and communication workers, all other(1)","27-3099",3.6,10.9,19.5,13.7,32.3,16.1,3.9,"2014"
"288","Audio and video equipment technicians(1)","27-4011",1.5,16.2,27.5,16.7,32.5,5,0.5,"2014"
"289","Broadcast technicians(1)","27-4012",1.5,16.2,27.5,16.7,32.5,5,0.5,"2014"
"290","Radio operators(1)","27-4013",1.5,16.2,27.5,16.7,32.5,5,0.5,"2014"
"291","Sound engineering technicians(1)","27-4014",1.5,16.2,27.5,16.7,32.5,5,0.5,"2014"
"292","Photographers","27-4021",1.9,10.8,24.4,11.7,41.8,8.2,1.2,"2014"
"293","Camera operators, television, video, and motion picture(1)","27-4031",1.6,8.3,17.5,11.5,51.9,8.2,1.1,"2014"
"294","Film and video editors(1)","27-4032",1.6,8.3,17.5,11.5,51.9,8.2,1.1,"2014"
"295","Media and communication equipment workers, all other(1)","27-4099",1.5,16.2,27.5,16.7,32.5,5,0.5,"2014"
"296","Chiropractors","29-1011",0.6,0.9,0.8,0.8,4.7,2.2,90.1,"2014"
"297","Dentists, general(1)","29-1021",0,0,0,0,0,1.7,98.3,"2014"
"298","Oral and maxillofacial surgeons(1)","29-1022",0,0,0,0,0,1.7,98.3,"2014"
"299","Orthodontists(1)","29-1023",0,0,0,0,0,1.7,98.3,"2014"
"300","Prosthodontists(1)","29-1024",0,0,0,0,0,1.7,98.3,"2014"
"301","Dentists, all other specialists(1)","29-1029",0,0,0,0,0,1.7,98.3,"2014"
"302","Dietitians and nutritionists","29-1031",3,12,8.7,5.1,37.2,28,6,"2014"
"303","Optometrists","29-1041",0,0,0,0,0,1.8,98.2,"2014"
"304","Pharmacists","29-1051",0,0,1.4,0.9,35.4,6,56.3,"2014"
"305","Anesthesiologists(1)","29-1061",0.1,0.1,0,0,0.9,0.3,98.6,"2014"
"306","Family and general practitioners(1)","29-1062",0.1,0.1,0,0,0.9,0.3,98.6,"2014"
"307","Internists, general(1)","29-1063",0.1,0.1,0,0,0.9,0.3,98.6,"2014"
"308","Obstetricians and gynecologists(1)","29-1064",0.1,0.1,0,0,0.9,0.3,98.6,"2014"
"309","Pediatricians, general(1)","29-1065",0.1,0.1,0,0,0.9,0.3,98.6,"2014"
"310","Psychiatrists(1)","29-1066",0.1,0.1,0,0,0.9,0.3,98.6,"2014"
"311","Surgeons(1)","29-1067",0.1,0.1,0,0,0.9,0.3,98.6,"2014"
"312","Physicians and surgeons, all other(1)","29-1069",0.1,0.1,0,0,0.9,0.3,98.6,"2014"
"313","Physician assistants","29-1071",0.2,1,2.6,4.6,18,57.7,15.9,"2014"
"314","Podiatrists","29-1081",0,0,0,0,0,0.9,99.1,"2014"
"315","Occupational therapists","29-1122",0.2,1,0.9,5.9,41.2,45.2,5.6,"2014"
"316","Physical therapists","29-1123",0.3,0.8,1.4,3.6,33.5,25.5,34.9,"2014"
"317","Radiation therapists","29-1124",0,0.8,9.7,36.9,43.4,6.6,2.5,"2014"
"318","Recreational therapists","29-1125",0.5,8.3,6.7,6.6,60.3,15.3,2.3,"2014"
"319","Respiratory therapists","29-1126",0.4,2,12.2,52.6,27.9,3.9,1,"2014"
"320","Speech-language pathologists","29-1127",0.1,0.9,0.6,1.1,11.7,82.6,3,"2014"
"321","Exercise physiologists(1)","29-1128",0.7,2.2,4.5,5.7,27.5,52.6,6.7,"2014"
"322","Therapists, all other(1)","29-1129",0.7,2.2,4.5,5.7,27.5,52.6,6.7,"2014"
"323","Veterinarians","29-1131",0,0,0,0,0,1.8,98.2,"2014"
"324","Registered nurses","29-1141",0.3,1.2,5.5,33.9,48.1,9,2,"2014"
"325","Nurse anesthetists","29-1151",0,0,0,0,14.4,71.9,13.7,"2014"
"326","Nurse midwives(1)","29-1161",0,0,0,0,7.1,79,13.9,"2014"
"327","Nurse practitioners(1)","29-1171",0,0,0,0,7.1,79,13.9,"2014"
"328","Audiologists","29-1181",0,1.6,2.3,1.7,9.4,24.9,60.1,"2014"
"329","Health diagnosing and treating practitioners, all other","29-1199",1.2,2.8,7.3,3.2,19.3,38.5,27.8,"2014"
"330","Medical and clinical laboratory technologists(1)","29-2011",1.5,10.8,19.2,19.5,39.4,6.8,2.7,"2014"
"331","Medical and clinical laboratory technicians(1)","29-2012",1.5,10.8,19.2,19.5,39.4,6.8,2.7,"2014"
"332","Dental hygienists","29-2021",0.5,2.4,7.5,52.1,31.8,3.1,2.7,"2014"
"333","Cardiovascular technologists and technicians(1)","29-2031",0.8,5.8,19.1,44.5,24.8,3.5,1.6,"2014"
"334","Diagnostic medical sonographers(1)","29-2032",0.8,5.8,19.1,44.5,24.8,3.5,1.6,"2014"
"335","Nuclear medicine technologists(1)","29-2033",0.8,5.8,19.1,44.5,24.8,3.5,1.6,"2014"
"336","Radiologic technologists(1)","29-2034",0.8,5.8,19.1,44.5,24.8,3.5,1.6,"2014"
"337","Magnetic resonance imaging technologists(1)","29-2035",0.8,5.8,19.1,44.5,24.8,3.5,1.6,"2014"
"338","Emergency medical technicians and paramedics","29-2041",0.6,12.8,44.7,22.3,16.8,2.3,0.5,"2014"
"339","Dietetic technicians(1)","29-2051",1.8,19.7,33.7,20.8,19.7,3.4,1,"2014"
"340","Pharmacy technicians(1)","29-2052",1.8,19.7,33.7,20.8,19.7,3.4,1,"2014"
"341","Psychiatric technicians(1)","29-2053",1.8,19.7,33.7,20.8,19.7,3.4,1,"2014"
"342","Respiratory therapy technicians(1)","29-2054",1.8,19.7,33.7,20.8,19.7,3.4,1,"2014"
"343","Surgical technologists(1)","29-2055",1.8,19.7,33.7,20.8,19.7,3.4,1,"2014"
"344","Veterinary technologists and technicians(1)","29-2056",1.8,19.7,33.7,20.8,19.7,3.4,1,"2014"
"345","Ophthalmic medical technicians(1)","29-2057",1.8,19.7,33.7,20.8,19.7,3.4,1,"2014"
"346","Licensed practical and licensed vocational nurses","29-2061",1.5,22.5,54,17.3,3.8,0.6,0.4,"2014"
"347","Medical records and health information technicians","29-2071",1.4,21.2,33,23,17.5,3.1,0.9,"2014"
"348","Opticians, dispensing","29-2081",2.4,26,33.7,17.4,17.6,1.8,1,"2014"
"349","Orthotists and prosthetists(1)","29-2091",1.9,17.6,30.8,17.7,22,6.2,3.9,"2014"
"350","Hearing aid specialists(1)","29-2092",1.9,17.6,30.8,17.7,22,6.2,3.9,"2014"
"351","Health technologists and technicians, all other(1)","29-2099",1.9,17.6,30.8,17.7,22,6.2,3.9,"2014"
"352","Occupational health and safety specialists(1)","29-9011",1.6,11.2,13.6,8.7,36.2,25.2,3.5,"2014"
"353","Occupational health and safety technicians(1)","29-9012",1.6,11.2,13.6,8.7,36.2,25.2,3.5,"2014"
"354","Athletic trainers(1)","29-9091",1.6,11.2,13.6,8.7,36.2,25.2,3.5,"2014"
"355","Genetic counselors(1)","29-9092",1.6,11.2,13.6,8.7,36.2,25.2,3.5,"2014"
"356","Healthcare practitioners and technical workers, all other(1)","29-9099",1.6,11.2,13.6,8.7,36.2,25.2,3.5,"2014"
"357","Home health aides(1)","31-1011",13.2,35.5,31,10.2,7.8,1.6,0.8,"2014"
"358","Psychiatric aides(1)","31-1013",13.2,35.5,31,10.2,7.8,1.6,0.8,"2014"
"359","Nursing assistants(1)","31-1014",13.2,35.5,31,10.2,7.8,1.6,0.8,"2014"
"360","Orderlies(1)","31-1015",13.2,35.5,31,10.2,7.8,1.6,0.8,"2014"
"361","Occupational therapy assistants(1)","31-2011",0,2.3,7.3,75.2,12.5,1.4,1.4,"2014"
"362","Occupational therapy aides(1)","31-2012",0,2.3,7.3,75.2,12.5,1.4,1.4,"2014"
"363","Physical therapist assistants(1)","31-2021",1.9,5.3,15.6,53.1,20.9,1.8,1.4,"2014"
"364","Physical therapist aides(1)","31-2022",1.9,5.3,15.6,53.1,20.9,1.8,1.4,"2014"
"365","Massage therapists","31-9011",2.9,18.6,35.2,17.1,20,4,2.2,"2014"
"366","Dental assistants","31-9091",3.2,25.3,39.5,20.5,9,0.8,1.6,"2014"
"367","Medical assistants","31-9092",2.2,20.9,41.3,24,9.1,1.8,0.7,"2014"
"368","Medical equipment preparers(1)","31-9093",8.6,35.8,30.2,11.5,10.8,2.4,0.7,"2014"
"369","Medical transcriptionists","31-9094",0.7,19.8,37.8,23,15.9,2.3,0.5,"2014"
"370","Pharmacy aides","31-9095",3.4,29.7,34.2,12.4,15.9,1.1,3.3,"2014"
"371","Veterinary assistants and laboratory animal caretakers","31-9096",4.6,21.6,30.3,13.5,28,1.3,0.7,"2014"
"372","Phlebotomists","31-9097",1,23.5,47.4,17.6,8.3,1,1.2,"2014"
"373","Healthcare support workers, all other(1)","31-9099",8.6,35.8,30.2,11.5,10.8,2.4,0.7,"2014"
"374","First-line supervisors of correctional officers","33-1011",1,26.2,33.5,14.1,19.8,4.9,0.7,"2014"
"375","First-line supervisors of police and detectives","33-1012",0.3,11.4,31.3,15.9,28.1,12,1.1,"2014"
"376","First-line supervisors of fire fighting and prevention workers","33-1021",0.4,13.7,36.4,21.6,21.8,5.3,0.7,"2014"
"377","First-line supervisors of protective service workers, all other","33-1099",1.6,23.5,29.4,11.3,22.5,10.4,1.4,"2014"
"378","Firefighters","33-2011",0.7,15.1,40.5,21.6,19.7,2.1,0.4,"2014"
"379","Fire inspectors and investigators(1)","33-2021",0.8,22.8,28.1,21.6,20.3,5.8,0.6,"2014"
"380","Forest fire inspectors and prevention specialists(1)","33-2022",0.8,22.8,28.1,21.6,20.3,5.8,0.6,"2014"
"381","Bailiffs(1)","33-3011",1.2,30.2,37.7,14.7,14.4,1.5,0.4,"2014"
"382","Correctional officers and jailers(1)","33-3012",1.2,30.2,37.7,14.7,14.4,1.5,0.4,"2014"
"383","Detectives and criminal investigators","33-3021",0.6,6.2,24.2,10.8,42,13.5,2.8,"2014"
"384","Fish and game wardens(1)","33-3031",3.3,23.7,27.9,11.6,29.4,3.8,0.4,"2014"
"385","Parking enforcement workers(1)","33-3041",3.3,23.7,27.9,11.6,29.4,3.8,0.4,"2014"
"386","Police and sheriff's patrol officers(1)","33-3051",0.6,12,33.6,16.3,31.2,5.5,0.8,"2014"
"387","Transit and railroad police(1)","33-3052",0.6,12,33.6,16.3,31.2,5.5,0.8,"2014"
"388","Animal control workers","33-9011",2.7,35.5,39.9,10.2,10.8,1,0,"2014"
"389","Private detectives and investigators","33-9021",0.6,8.4,22,8.4,43.6,13.7,3.4,"2014"
"390","Gaming surveillance officers and gaming investigators(1)","33-9031",6.4,35.3,31.7,10.7,12.8,2.6,0.5,"2014"
"391","Security guards(1)","33-9032",6.4,35.3,31.7,10.7,12.8,2.6,0.5,"2014"
"392","Crossing guards","33-9091",16.8,45.6,23.5,6.3,5.9,1.7,0.2,"2014"
"393","Lifeguards, ski patrol, and other recreational protective service workers(1)","33-9092",5,23.8,24.1,11.8,30,4.7,0.6,"2014"
"394","Transportation security screeners","33-9093",4.8,21.9,31.1,13.9,21.6,5.8,0.9,"2014"
"395","Protective service workers, all other(1)","33-9099",5,23.8,24.1,11.8,30,4.7,0.6,"2014"
"396","Chefs and head cooks","35-1011",17.4,30.1,21.6,17.6,11.4,1.5,0.3,"2014"
"397","First-line supervisors of food preparation and serving workers","35-1012",11.4,35.4,28.7,9.5,12.7,1.9,0.5,"2014"
"398","Cooks, fast food(1)","35-2011",29.7,40.7,18.5,5.6,4.7,0.7,0.2,"2014"
"399","Cooks, institution and cafeteria(1)","35-2012",29.7,40.7,18.5,5.6,4.7,0.7,0.2,"2014"
"400","Cooks, private household(1)","35-2013",29.7,40.7,18.5,5.6,4.7,0.7,0.2,"2014"
"401","Cooks, restaurant(1)","35-2014",29.7,40.7,18.5,5.6,4.7,0.7,0.2,"2014"
"402","Cooks, short order(1)","35-2015",29.7,40.7,18.5,5.6,4.7,0.7,0.2,"2014"
"403","Cooks, all other(1)","35-2019",29.7,40.7,18.5,5.6,4.7,0.7,0.2,"2014"
"404","Food preparation workers","35-2021",27.1,36.7,21.2,6,7.5,1.2,0.3,"2014"
"405","Bartenders","35-3011",6.5,28.3,34.2,10.2,18.5,1.8,0.5,"2014"
"406","Combined food preparation and serving workers, including fast food","35-3021",19.2,43.5,23.4,6.8,5.9,1,0.1,"2014"
"407","Counter attendants, cafeteria, food concession, and coffee shop","35-3022",21.3,38.2,23.3,6.5,8.6,2.1,0,"2014"
"408","Waiters and waitresses","35-3031",13.1,32.8,29.2,9.1,13.7,1.8,0.3,"2014"
"409","Food servers, nonrestaurant","35-3041",15.7,43.4,23.4,7.4,8.5,1.2,0.3,"2014"
"410","Dining room and cafeteria attendants and bartender helpers(1)","35-9011",26.3,44.1,17.7,5.4,5.5,0.8,0.3,"2014"
"411","Dishwashers","35-9021",44.3,38.2,10.2,2.9,3.2,0.8,0.2,"2014"
"412","Hosts and hostesses, restaurant, lounge, and coffee shop","35-9031",11.4,37.4,26,6.7,14.9,2.9,0.7,"2014"
"413","Food preparation and serving related workers, all other(1)","35-9099",26.3,44.1,17.7,5.4,5.5,0.8,0.3,"2014"
"414","First-line supervisors of housekeeping and janitorial workers","37-1011",15.1,38,24.8,8.5,10.8,2.2,0.6,"2014"
"415","First-line supervisors of landscaping, lawn service, and groundskeeping workers","37-1012",17.1,30.4,23.9,9.8,17.1,1.5,0.2,"2014"
"416","Janitors and cleaners, except maids and housekeeping cleaners(1)","37-2011",25.4,44.2,19,5.6,4.9,0.8,0.2,"2014"
"417","Maids and housekeeping cleaners","37-2012",38.2,39.2,13.8,3.9,4,0.7,0.2,"2014"
"418","Building cleaning workers, all other(1)","37-2019",25.4,44.2,19,5.6,4.9,0.8,0.2,"2014"
"419","Pest control workers","37-2021",7.8,42.4,29.4,8.4,10.7,1.1,0.2,"2014"
"420","Landscaping and groundskeeping workers(1)","37-3011",38,35.6,15.4,4.2,5.8,0.9,0.1,"2014"
"421","Pesticide handlers, sprayers, and applicators, vegetation(1)","37-3012",38,35.6,15.4,4.2,5.8,0.9,0.1,"2014"
"422","Tree trimmers and pruners(1)","37-3013",38,35.6,15.4,4.2,5.8,0.9,0.1,"2014"
"423","Grounds maintenance workers, all other(1)","37-3019",38,35.6,15.4,4.2,5.8,0.9,0.1,"2014"
"424","Gaming supervisors(1)","39-1011",7,33.3,34.4,9.8,11.9,3.2,0.4,"2014"
"425","Slot supervisors(1)","39-1012",7,33.3,34.4,9.8,11.9,3.2,0.4,"2014"
"426","First-line supervisors of personal service workers","39-1021",4.5,26.3,31.3,12.8,21.1,3.3,0.6,"2014"
"427","Animal trainers","39-2011",6.5,24.1,26.7,11.1,25.6,5,1,"2014"
"428","Nonfarm animal caretakers","39-2021",8.6,35.5,26.8,9.6,16,2.8,0.7,"2014"
"429","Gaming dealers(1)","39-3011",8.9,32.6,29.5,10,15.5,3,0.7,"2014"
"430","Gaming and sports book writers and runners(1)","39-3012",8.9,32.6,29.5,10,15.5,3,0.7,"2014"
"431","Gaming service workers, all other(1)","39-3019",8.9,32.6,29.5,10,15.5,3,0.7,"2014"
"432","Motion picture projectionists","39-3021",2.8,21.3,29.9,14.9,22.9,8.2,0,"2014"
"433","Ushers, lobby attendants, and ticket takers","39-3031",7.9,32.2,24.8,9.4,18.5,6.1,1.2,"2014"
"434","Amusement and recreation attendants(1)","39-3091",8.5,29.4,31.6,7.4,17.1,5.2,0.8,"2014"
"435","Costume attendants(1)","39-3092",8.5,29.4,31.6,7.4,17.1,5.2,0.8,"2014"
"436","Locker room, coatroom, and dressing room attendants(1)","39-3093",8.5,29.4,31.6,7.4,17.1,5.2,0.8,"2014"
"437","Entertainment attendants and related workers, all other(1)","39-3099",8.5,29.4,31.6,7.4,17.1,5.2,0.8,"2014"
"438","Embalmers(1)","39-4011",6.2,27.5,27.7,13,18.4,6.3,0.9,"2014"
"439","Funeral attendants(1)","39-4021",6.2,27.5,27.7,13,18.4,6.3,0.9,"2014"
"440","Morticians, undertakers, and funeral directors","39-4031",1.2,9.5,20.1,34,29.2,3,3,"2014"
"441","Barbers","39-5011",12.1,47.4,28.6,6.8,4.4,0.6,0.1,"2014"
"442","Hairdressers, hairstylists, and cosmetologists","39-5012",7.3,43.5,33,10.3,5.1,0.6,0.3,"2014"
"443","Makeup artists, theatrical and performance(1)","39-5091",22.3,37.4,21.1,7.8,9.6,1.6,0.3,"2014"
"444","Manicurists and pedicurists(1)","39-5092",22.3,37.4,21.1,7.8,9.6,1.6,0.3,"2014"
"445","Shampooers(1)","39-5093",22.3,37.4,21.1,7.8,9.6,1.6,0.3,"2014"
"446","Skincare specialists(1)","39-5094",22.3,37.4,21.1,7.8,9.6,1.6,0.3,"2014"
"447","Baggage porters and bellhops(1)","39-6011",9.4,32,29.8,10.7,15.6,2,0.5,"2014"
"448","Concierges(1)","39-6012",9.4,32,29.8,10.7,15.6,2,0.5,"2014"
"449","Tour guides and escorts(1)","39-7011",4.5,15.8,23,12.1,31.2,10.8,2.5,"2014"
"450","Travel guides(1)","39-7012",4.5,15.8,23,12.1,31.2,10.8,2.5,"2014"
"451","Childcare workers","39-9011",12.6,31.1,26.9,10.5,15.4,2.9,0.6,"2014"
"452","Personal care aides","39-9021",16.5,34.6,27,8.6,10.4,2.3,0.6,"2014"
"453","Fitness trainers and aerobics instructors(1)","39-9031",2.4,15.2,23.6,9.9,37.8,9.5,1.6,"2014"
"454","Recreation workers(1)","39-9032",2.4,15.2,23.6,9.9,37.8,9.5,1.6,"2014"
"455","Residential advisors","39-9041",4.6,17.8,30.5,12,23.6,9.2,2.2,"2014"
"456","Personal care and service workers, all other","39-9099",8.7,28.8,27.3,8.3,20.5,5.6,0.8,"2014"
"457","First-line supervisors of retail sales workers","41-1011",5.8,29.2,28.9,9.7,21.6,3.8,1,"2014"
"458","First-line supervisors of non-retail sales workers","41-1012",4.7,21.8,22.8,8.3,31.5,9.2,1.7,"2014"
"459","Cashiers(1)","41-2011",14.4,40.8,26,7.6,9.3,1.8,0.2,"2014"
"460","Gaming change persons and booth cashiers(1)","41-2012",14.4,40.8,26,7.6,9.3,1.8,0.2,"2014"
"461","Counter and rental clerks","41-2021",10.2,40,25,8.2,14.6,1.8,0.1,"2014"
"462","Parts salespersons","41-2022",9.4,46.8,27.5,10.4,4.9,0.6,0.4,"2014"
"463","Retail salespersons","41-2031",6.8,29.4,28.5,10.1,20.8,3.8,0.7,"2014"
"464","Advertising sales agents","41-3011",1.2,10.7,21.2,7.4,50.1,8.6,0.9,"2014"
"465","Insurance sales agents","41-3021",1.5,14.4,27,10,38.4,7,1.6,"2014"
"466","Securities, commodities, and financial services sales agents","41-3031",1,7.1,15.7,6,49.8,17.7,2.6,"2014"
"467","Travel agents","41-3041",1.3,17.3,33.1,14.3,27,6.1,0.9,"2014"
"468","Sales representatives, services, all other","41-3099",2,14.1,24.2,7.9,42.4,8.5,0.9,"2014"
"469","Sales representatives, wholesale and manufacturing, technical and scientific products(1)","41-4011",3.1,17.8,22.8,8.2,40.2,6.9,0.9,"2014"
"470","Sales representatives, wholesale and manufacturing, except technical and scientific products(1)","41-4012",3.1,17.8,22.8,8.2,40.2,6.9,0.9,"2014"
"471","Demonstrators and product promoters(1)","41-9011",8.1,32,26.7,9.4,17.7,4.8,1.2,"2014"
"472","Models(1)","41-9012",8.1,32,26.7,9.4,17.7,4.8,1.2,"2014"
"473","Real estate brokers(1)","41-9021",1.3,11.9,27.1,10.1,37.7,9.6,2.2,"2014"
"474","Real estate sales agents(1)","41-9022",1.3,11.9,27.1,10.1,37.7,9.6,2.2,"2014"
"475","Sales engineers","41-9031",0.6,4.1,14.2,10.5,54.6,15.3,0.6,"2014"
"476","Telemarketers","41-9041",5.8,29.8,36.2,11.3,13.2,3.5,0.2,"2014"
"477","Door-to-door sales workers, news and street vendors, and related workers","41-9091",13.2,30.8,23.6,9.6,18.2,3.8,0.8,"2014"
"478","Sales and related workers, all other","41-9099",4,18.8,22.3,8.7,36.1,8.8,1.3,"2014"
"479","First-line supervisors of office and administrative support workers","43-1011",2.7,22.2,28.7,11.6,25.8,7.6,1.4,"2014"
"480","Switchboard operators, including answering service","43-2011",3.7,38.9,34.7,10.7,10.1,1.1,0.7,"2014"
"481","Telephone operators","43-2021",3.4,31.5,41.3,8.9,11.9,2.1,1,"2014"
"482","Communications equipment operators, all other","43-2099",0,17.3,28,8.5,32.9,9.7,3.6,"2014"
"483","Bill and account collectors","43-3011",3.6,30.3,36,12.3,15.1,2.2,0.5,"2014"
"484","Billing and posting clerks","43-3021",2.4,29.4,33.1,15.8,15.8,2.9,0.5,"2014"
"485","Bookkeeping, accounting, and auditing clerks","43-3031",3.5,27.9,37.6,11.1,16.3,3.2,0.5,"2014"
"486","Gaming cage workers","43-3041",9.2,39.1,27.7,8.6,14.5,1,0,"2014"
"487","Payroll and timekeeping clerks","43-3051",2,26.1,35.9,14,18.9,2.7,0.4,"2014"
"488","Procurement clerks","43-3061",0.8,21.3,28.4,11.4,26.9,10.1,1.1,"2014"
"489","Tellers","43-3071",1.9,34.5,35.6,10.7,15.1,1.8,0.5,"2014"
"490","Financial clerks, all other","43-3099",1.2,16.3,24.7,9.5,33.4,13.9,1,"2014"
"491","Brokerage clerks","43-4011",1,21,24,14.9,33.3,4.5,1.3,"2014"
"492","Correspondence clerks(1)","43-4021",8.8,35.4,28.4,10.5,14.3,2.2,0.4,"2014"
"493","Court, municipal, and license clerks","43-4031",1.5,27.4,31.5,14.6,20.7,2.6,1.9,"2014"
"494","Credit authorizers, checkers, and clerks","43-4041",1.4,27.6,29.4,13.6,21.5,6.1,0.5,"2014"
"495","Customer service representatives","43-4051",3.9,26.2,32.1,11.6,21.7,4,0.5,"2014"
"496","Eligibility interviewers, government programs","43-4061",1.4,14.1,26.4,14.8,35.5,7.2,0.7,"2014"
"497","File clerks","43-4071",3.4,30,30.9,11.7,18.7,4.6,0.6,"2014"
"498","Hotel, motel, and resort desk clerks","43-4081",6.3,27.1,35.6,11.1,16.9,2.6,0.5,"2014"
"499","Interviewers, except eligibility and loan","43-4111",2.3,21.5,34.1,14.4,19.5,6.5,1.7,"2014"
"500","Library assistants, clerical","43-4121",1.6,17.9,26.8,11.6,30.5,9.7,1.8,"2014"
"501","Loan interviewers and clerks","43-4131",2,25.9,35,12.2,21,3.5,0.3,"2014"
"502","New accounts clerks","43-4141",1.5,20.3,35.6,11.8,27.6,2.3,0.9,"2014"
"503","Order clerks(1)","43-4151",8.8,35.4,28.4,10.5,14.3,2.2,0.4,"2014"
"504","Human resources assistants, except payroll and timekeeping","43-4161",1.7,21.8,37.6,11.5,20.3,6.8,0.3,"2014"
"505","Receptionists and information clerks","43-4171",4,32.8,33.9,12.3,14,2.6,0.3,"2014"
"506","Reservation and transportation ticket agents and travel clerks","43-4181",2,22.3,34.8,11.4,25.3,3.7,0.5,"2014"
"507","Information and record clerks, all other","43-4199",2.2,19.4,32.2,16.7,22.2,5.9,1.5,"2014"
"508","Cargo and freight agents","43-5011",3.5,29.9,34.7,5.6,23.5,2.2,0.7,"2014"
"509","Couriers and messengers","43-5021",8.8,36.5,31.3,9.2,11.9,2.1,0.2,"2014"
