employment,code,degrees,number,year
Medical records and health information technicians,29-2071,high school,23.5,2012
Medical records and health information technicians,29-2071,"some college, no degree",35.5,2012
Medical records and health information technicians,29-2071,associate,19.4,2012
Medical records and health information technicians,29-2071,bachelor,15.8,2012
Medical records and health information technicians,29-2071,master,3.2,2012
Medical records and health information technicians,29-2071,doctor/professional,0.8,2012
"Opticians, dispensing",29-2081,less hs,1.9,2012
"Opticians, dispensing",29-2081,high school,27.9,2012
"Opticians, dispensing",29-2081,"some college, no degree",36.5,2012
"Opticians, dispensing",29-2081,associate,19.6,2012
"Opticians, dispensing",29-2081,bachelor,12.3,2012
"Opticians, dispensing",29-2081,master,0.9,2012
"Opticians, dispensing",29-2081,doctor/professional,0.9,2012
Orthotists and prosthetists(1),29-2091,less hs,1.7,2012
Orthotists and prosthetists(1),29-2091,high school,19.3,2012
Orthotists and prosthetists(1),29-2091,"some college, no degree",31,2012
Orthotists and prosthetists(1),29-2091,associate,14.4,2012
Orthotists and prosthetists(1),29-2091,bachelor,21.3,2012
Orthotists and prosthetists(1),29-2091,master,7.5,2012
Orthotists and prosthetists(1),29-2091,doctor/professional,4.8,2012
Hearing aid specialists(1),29-2092,less hs,1.7,2012
Hearing aid specialists(1),29-2092,high school,19.3,2012
Hearing aid specialists(1),29-2092,"some college, no degree",31,2012
Hearing aid specialists(1),29-2092,associate,14.4,2012
Hearing aid specialists(1),29-2092,bachelor,21.3,2012
Hearing aid specialists(1),29-2092,master,7.5,2012
Hearing aid specialists(1),29-2092,doctor/professional,4.8,2012
"Health technologists and technicians, all other(1)",29-2099,less hs,1.7,2012
"Health technologists and technicians, all other(1)",29-2099,high school,19.3,2012
"Health technologists and technicians, all other(1)",29-2099,"some college, no degree",31,2012
"Health technologists and technicians, all other(1)",29-2099,associate,14.4,2012
"Health technologists and technicians, all other(1)",29-2099,bachelor,21.3,2012
"Health technologists and technicians, all other(1)",29-2099,master,7.5,2012
"Health technologists and technicians, all other(1)",29-2099,doctor/professional,4.8,2012
Occupational health and safety specialists(1),29-9011,less hs,2.6,2012
Occupational health and safety specialists(1),29-9011,high school,10,2012
Occupational health and safety specialists(1),29-9011,"some college, no degree",18,2012
Occupational health and safety specialists(1),29-9011,associate,9.3,2012
Occupational health and safety specialists(1),29-9011,bachelor,35.6,2012
Occupational health and safety specialists(1),29-9011,master,22,2012
Occupational health and safety specialists(1),29-9011,doctor/professional,2.5,2012
Occupational health and safety technicians(1),29-9012,less hs,2.6,2012
Occupational health and safety technicians(1),29-9012,high school,10,2012
Occupational health and safety technicians(1),29-9012,"some college, no degree",18,2012
Occupational health and safety technicians(1),29-9012,associate,9.3,2012
Occupational health and safety technicians(1),29-9012,bachelor,35.6,2012
Occupational health and safety technicians(1),29-9012,master,22,2012
Occupational health and safety technicians(1),29-9012,doctor/professional,2.5,2012
Athletic trainers(1),29-9091,less hs,2.6,2012
Athletic trainers(1),29-9091,high school,10,2012
Athletic trainers(1),29-9091,"some college, no degree",18,2012
Athletic trainers(1),29-9091,associate,9.3,2012
Athletic trainers(1),29-9091,bachelor,35.6,2012
Athletic trainers(1),29-9091,master,22,2012
Athletic trainers(1),29-9091,doctor/professional,2.5,2012
Genetic counselors(1),29-9092,less hs,2.6,2012
Genetic counselors(1),29-9092,high school,10,2012
Genetic counselors(1),29-9092,"some college, no degree",18,2012
Genetic counselors(1),29-9092,associate,9.3,2012
Genetic counselors(1),29-9092,bachelor,35.6,2012
Genetic counselors(1),29-9092,master,22,2012
Genetic counselors(1),29-9092,doctor/professional,2.5,2012
"Healthcare practitioners and technical workers, all other(1)",29-9099,less hs,2.6,2012
"Healthcare practitioners and technical workers, all other(1)",29-9099,high school,10,2012
"Healthcare practitioners and technical workers, all other(1)",29-9099,"some college, no degree",18,2012
"Healthcare practitioners and technical workers, all other(1)",29-9099,associate,9.3,2012
"Healthcare practitioners and technical workers, all other(1)",29-9099,bachelor,35.6,2012
"Healthcare practitioners and technical workers, all other(1)",29-9099,master,22,2012
"Healthcare practitioners and technical workers, all other(1)",29-9099,doctor/professional,2.5,2012
Home health aides(1),31-1011,less hs,12.4,2012
Home health aides(1),31-1011,high school,34.6,2012
Home health aides(1),31-1011,"some college, no degree",31.9,2012
Home health aides(1),31-1011,associate,9.8,2012
Home health aides(1),31-1011,bachelor,7.9,2012
Home health aides(1),31-1011,master,1.9,2012
Home health aides(1),31-1011,doctor/professional,1.5,2012
Psychiatric aides(1),31-1013,less hs,12.4,2012
Psychiatric aides(1),31-1013,high school,34.6,2012
Psychiatric aides(1),31-1013,"some college, no degree",31.9,2012
Psychiatric aides(1),31-1013,associate,9.8,2012
Psychiatric aides(1),31-1013,bachelor,7.9,2012
Psychiatric aides(1),31-1013,master,1.9,2012
Psychiatric aides(1),31-1013,doctor/professional,1.5,2012
Nursing assistants(1),31-1014,less hs,12.4,2012
Nursing assistants(1),31-1014,high school,34.6,2012
Nursing assistants(1),31-1014,"some college, no degree",31.9,2012
Nursing assistants(1),31-1014,associate,9.8,2012
Nursing assistants(1),31-1014,bachelor,7.9,2012
Nursing assistants(1),31-1014,master,1.9,2012
Nursing assistants(1),31-1014,doctor/professional,1.5,2012
Orderlies(1),31-1015,less hs,12.4,2012
Orderlies(1),31-1015,high school,34.6,2012
Orderlies(1),31-1015,"some college, no degree",31.9,2012
Orderlies(1),31-1015,associate,9.8,2012
Orderlies(1),31-1015,bachelor,7.9,2012
Orderlies(1),31-1015,master,1.9,2012
Orderlies(1),31-1015,doctor/professional,1.5,2012
Occupational therapy assistants(1),31-2011,less hs,0.8,2012
Occupational therapy assistants(1),31-2011,high school,2.1,2012
Occupational therapy assistants(1),31-2011,"some college, no degree",9.4,2012
Occupational therapy assistants(1),31-2011,associate,76.2,2012
Occupational therapy assistants(1),31-2011,bachelor,11.1,2012
Occupational therapy assistants(1),31-2011,master,0.3,2012
Occupational therapy assistants(1),31-2011,doctor/professional,0,2012
Occupational therapy aides(1),31-2012,less hs,0.8,2012
Occupational therapy aides(1),31-2012,high school,2.1,2012
Occupational therapy aides(1),31-2012,"some college, no degree",9.4,2012
Occupational therapy aides(1),31-2012,associate,76.2,2012
Occupational therapy aides(1),31-2012,bachelor,11.1,2012
Occupational therapy aides(1),31-2012,master,0.3,2012
Occupational therapy aides(1),31-2012,doctor/professional,0,2012
Physical therapist assistants(1),31-2021,less hs,0.6,2012
Physical therapist assistants(1),31-2021,high school,7.8,2012
Physical therapist assistants(1),31-2021,"some college, no degree",16.8,2012
Physical therapist assistants(1),31-2021,associate,54.1,2012
Physical therapist assistants(1),31-2021,bachelor,17.1,2012
Physical therapist assistants(1),31-2021,master,2.7,2012
Physical therapist assistants(1),31-2021,doctor/professional,0.9,2012
Physical therapist aides(1),31-2022,less hs,0.6,2012
Physical therapist aides(1),31-2022,high school,7.8,2012
Physical therapist aides(1),31-2022,"some college, no degree",16.8,2012
Physical therapist aides(1),31-2022,associate,54.1,2012
Physical therapist aides(1),31-2022,bachelor,17.1,2012
Physical therapist aides(1),31-2022,master,2.7,2012
Physical therapist aides(1),31-2022,doctor/professional,0.9,2012
Massage therapists,31-9011,less hs,2.3,2012
Massage therapists,31-9011,high school,17.2,2012
Massage therapists,31-9011,"some college, no degree",36.8,2012
Massage therapists,31-9011,associate,17.2,2012
Massage therapists,31-9011,bachelor,20.9,2012
Massage therapists,31-9011,master,4.2,2012
Massage therapists,31-9011,doctor/professional,1.5,2012
Dental assistants,31-9091,less hs,2.7,2012
Dental assistants,31-9091,high school,29.9,2012
Dental assistants,31-9091,"some college, no degree",40.5,2012
Dental assistants,31-9091,associate,17.8,2012
Dental assistants,31-9091,bachelor,7,2012
Dental assistants,31-9091,master,0.5,2012
Dental assistants,31-9091,doctor/professional,1.6,2012
Medical assistants,31-9092,less hs,2.7,2012
Medical assistants,31-9092,high school,22.5,2012
Medical assistants,31-9092,"some college, no degree",42.7,2012
Medical assistants,31-9092,associate,22.3,2012
Medical assistants,31-9092,bachelor,7.7,2012
Medical assistants,31-9092,master,1.2,2012
Medical assistants,31-9092,doctor/professional,0.8,2012
Medical equipment preparers(1),31-9093,less hs,8.5,2012
Medical equipment preparers(1),31-9093,high school,40.1,2012
Medical equipment preparers(1),31-9093,"some college, no degree",28,2012
Medical equipment preparers(1),31-9093,associate,10.1,2012
Medical equipment preparers(1),31-9093,bachelor,11.2,2012
Medical equipment preparers(1),31-9093,master,1.7,2012
Medical equipment preparers(1),31-9093,doctor/professional,0.4,2012
Medical transcriptionists,31-9094,less hs,1.3,2012
Medical transcriptionists,31-9094,high school,19.9,2012
Medical transcriptionists,31-9094,"some college, no degree",39.4,2012
Medical transcriptionists,31-9094,associate,21.5,2012
Medical transcriptionists,31-9094,bachelor,15.1,2012
Medical transcriptionists,31-9094,master,2.3,2012
Medical transcriptionists,31-9094,doctor/professional,0.6,2012
Pharmacy aides,31-9095,less hs,4.5,2012
Pharmacy aides,31-9095,high school,26.1,2012
Pharmacy aides,31-9095,"some college, no degree",38.3,2012
Pharmacy aides,31-9095,associate,12,2012
Pharmacy aides,31-9095,bachelor,16.6,2012
Pharmacy aides,31-9095,master,1.1,2012
Pharmacy aides,31-9095,doctor/professional,1.5,2012
Veterinary assistants and laboratory animal caretakers,31-9096,less hs,4.9,2012
Veterinary assistants and laboratory animal caretakers,31-9096,high school,25.6,2012
Veterinary assistants and laboratory animal caretakers,31-9096,"some college, no degree",29.1,2012
Veterinary assistants and laboratory animal caretakers,31-9096,associate,18,2012
Veterinary assistants and laboratory animal caretakers,31-9096,bachelor,20.4,2012
Veterinary assistants and laboratory animal caretakers,31-9096,master,0.8,2012
Veterinary assistants and laboratory animal caretakers,31-9096,doctor/professional,1.1,2012
Phlebotomists,31-9097,less hs,2.9,2012
Phlebotomists,31-9097,high school,26.2,2012
Phlebotomists,31-9097,"some college, no degree",45,2012
Phlebotomists,31-9097,associate,16.1,2012
Phlebotomists,31-9097,bachelor,8,2012
Phlebotomists,31-9097,master,1.1,2012
Phlebotomists,31-9097,doctor/professional,0.7,2012
"Healthcare support workers, all other(1)",31-9099,less hs,8.5,2012
"Healthcare support workers, all other(1)",31-9099,high school,40.1,2012
"Healthcare support workers, all other(1)",31-9099,"some college, no degree",28,2012
"Healthcare support workers, all other(1)",31-9099,associate,10.1,2012
"Healthcare support workers, all other(1)",31-9099,bachelor,11.2,2012
"Healthcare support workers, all other(1)",31-9099,master,1.7,2012
"Healthcare support workers, all other(1)",31-9099,doctor/professional,0.4,2012
First-line supervisors of correctional officers,33-1011,less hs,1,2012
First-line supervisors of correctional officers,33-1011,high school,24.2,2012
First-line supervisors of correctional officers,33-1011,"some college, no degree",34.4,2012
First-line supervisors of correctional officers,33-1011,associate,11.9,2012
First-line supervisors of correctional officers,33-1011,bachelor,20.2,2012
First-line supervisors of correctional officers,33-1011,master,6.8,2012
First-line supervisors of correctional officers,33-1011,doctor/professional,1.6,2012
First-line supervisors of police and detectives,33-1012,less hs,0.5,2012
First-line supervisors of police and detectives,33-1012,high school,10.7,2012
First-line supervisors of police and detectives,33-1012,"some college, no degree",30.7,2012
First-line supervisors of police and detectives,33-1012,associate,12.7,2012
First-line supervisors of police and detectives,33-1012,bachelor,32.4,2012
First-line supervisors of police and detectives,33-1012,master,11.2,2012
First-line supervisors of police and detectives,33-1012,doctor/professional,1.8,2012
First-line supervisors of fire fighting and prevention workers,33-1021,less hs,0.1,2012
First-line supervisors of fire fighting and prevention workers,33-1021,high school,15,2012
First-line supervisors of fire fighting and prevention workers,33-1021,"some college, no degree",36.9,2012
First-line supervisors of fire fighting and prevention workers,33-1021,associate,22.3,2012
First-line supervisors of fire fighting and prevention workers,33-1021,bachelor,19.1,2012
First-line supervisors of fire fighting and prevention workers,33-1021,master,6.1,2012
First-line supervisors of fire fighting and prevention workers,33-1021,doctor/professional,0.4,2012
"First-line supervisors of protective service workers, all other",33-1099,less hs,2.6,2012
"First-line supervisors of protective service workers, all other",33-1099,high school,20.8,2012
"First-line supervisors of protective service workers, all other",33-1099,"some college, no degree",31.9,2012
"First-line supervisors of protective service workers, all other",33-1099,associate,11.2,2012
"First-line supervisors of protective service workers, all other",33-1099,bachelor,23.8,2012
"First-line supervisors of protective service workers, all other",33-1099,master,7.5,2012
"First-line supervisors of protective service workers, all other",33-1099,doctor/professional,2.3,2012
Firefighters,33-2011,less hs,1,2012
Firefighters,33-2011,high school,16.1,2012
Firefighters,33-2011,"some college, no degree",43.5,2012
Firefighters,33-2011,associate,20.1,2012
Firefighters,33-2011,bachelor,17.3,2012
Firefighters,33-2011,master,1.8,2012
Firefighters,33-2011,doctor/professional,0.2,2012
Fire inspectors and investigators(1),33-2021,less hs,3.4,2012
Fire inspectors and investigators(1),33-2021,high school,18.4,2012
Fire inspectors and investigators(1),33-2021,"some college, no degree",33.4,2012
Fire inspectors and investigators(1),33-2021,associate,16,2012
Fire inspectors and investigators(1),33-2021,bachelor,22.8,2012
Fire inspectors and investigators(1),33-2021,master,5.5,2012
Fire inspectors and investigators(1),33-2021,doctor/professional,0.5,2012
Forest fire inspectors and prevention specialists(1),33-2022,less hs,3.4,2012
Forest fire inspectors and prevention specialists(1),33-2022,high school,18.4,2012
Forest fire inspectors and prevention specialists(1),33-2022,"some college, no degree",33.4,2012
